seed,gelu_accuracy,periodic_gelu_accuracy,direct_peuaf_accuracy,evolved_peuaf_accuracy,evolved_minus_direct,evolved_minus_gelu,evolved_minus_periodic_gelu,periodic_gelu_minus_gelu
42,89.82,89.14,87.53999999999999,87.17,-0.36999999999999034,-2.6499999999999915,-1.9699999999999989,-0.6799999999999926
43,89.21,89.56,87.58,86.92999999999999,-0.6500000000000057,-2.280000000000001,-2.6300000000000097,0.3500000000000085
44,89.4,89.75,87.58,86.50999999999999,-1.0700000000000074,-2.890000000000015,-3.240000000000009,0.3499999999999943
