condition,label,runs,best_validation_accuracy_mean,best_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,total_duration_seconds_mean,total_duration_seconds_std
gelu,GELU,3,0.9034,0.001854723699099124,0.8947666666666667,0.002548637980482033,0.8950333333333333,0.0024280765135299173,3445.409385600001,8.25883113135636
periodic_gelu,Periodic GELU,3,0.9055333333333333,0.000956846672960486,0.8948333333333333,0.002548637980482033,0.8958666666666667,0.000817856276425699,6672.291930800001,5.652432323901408
direct_peuaf,Direct PEUAF,3,0.8848666666666667,0.002456736769691771,0.8756666666666667,0.00018856180831644423,0.8777666666666667,0.0008993825042154609,7333.378920933338,235.2486710762284
evolved_peuaf,Evolved PEUAF,3,0.8798,0.003959797974644701,0.8687,0.002727636339397188,0.869,0.003465063731977631,9672.6014295,180.95148963795583
