condition,label,runs,best_validation_accuracy_mean,best_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,total_duration_seconds_mean,total_duration_seconds_std
gelu,GELU,3,0.9394703656998739,0.003712383718506838,0.936988936988937,0.0053128239620910366,0.9413179413179413,0.0053128239620910366,246.83065643333734,2.8687955947679997
periodic_gelu,Periodic GELU,3,0.942833123160992,0.0011889143021211203,0.9374699374699375,0.0027209496149554974,0.9374699374699375,0.009881019040006815,441.69780453333806,2.474145788822259
direct_peuaf,Direct PEUAF,3,0.7204707860445566,0.02556165749560448,0.7200577200577201,0.026944614861300457,0.7291967291967292,0.01803591463131573,477.0962237333345,0.8562396674438529
evolved_peuaf,Evolved PEUAF,3,0.878520386717108,0.015179041685807304,0.8763828763828764,0.0163398631567706,0.8787878787878788,0.017435852775749733,849.6707661666733,7.202007923515076
