condition,label,runs,best_validation_accuracy_mean,best_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,total_duration_seconds_mean,total_duration_seconds_std
gelu,GELU,12,0.9267578125,0.02782489171951032,0.9184977213541666,0.03370302647993952,0.918701171875,0.03436418420968992,14.822188833333712,0.5711617886144998
direct_peuaf,Direct PEUAF,12,0.8572591145833334,0.029420943168172557,0.84649658203125,0.03183518313272793,0.8469034830729166,0.03052481332418625,31.811692816666135,0.8344771811418078
staged_peuaf,Staged PEUAF,12,0.8475748697916666,0.037035327227297195,0.835205078125,0.03592491482392976,0.8357137044270834,0.03544910922469964,32.38559572499859,1.432821243503075
evolved_peuaf,Evolved PEUAF,12,0.8802897135416666,0.03367243184875459,0.869140625,0.036105033575011644,0.8697306315104166,0.03604148227997289,66.15967233333201,1.5785558706379934
