model.activation,label,repeat,run_dir,dataset,architecture,activation,seed,device,runtime,parameter_count,epochs_completed,global_step,best_validation_accuracy,best_validation_epoch,initial_validation_accuracy,final_validation_accuracy,test_model_selection,test_loss,test_accuracy,final_test_loss,final_test_accuracy,duration_seconds
gelu,activation=gelu,1,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-1,cifar10,standard,gelu,42,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550570,120,42240,0.9008,119,,0.9008,best_validation,0.4851928563117981,0.8982,0.48518824939727784,0.8982,3457.0835087000005
gelu_sine_triangle,activation=gelu_sine_triangle,1,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-1,cifar10,standard,gelu_sine_triangle,42,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550591,120,42240,0.9064,98,,0.9054,best_validation,0.5095691682815552,0.8914,0.5139650135040283,0.8951,6664.3474074999995
gelu,activation=gelu,2,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-2,cifar10,standard,gelu,43,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550570,120,42240,0.905,115,,0.9046,best_validation,0.5195472462654114,0.8921,0.5187194994926453,0.8923,3439.2583577000005
gelu_sine_triangle,activation=gelu_sine_triangle,2,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-2,cifar10,standard,gelu_sine_triangle,43,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550591,120,42240,0.906,112,,0.9042,best_validation,0.508454296207428,0.8956,0.5073256806373596,0.8955,6677.0312641
gelu,activation=gelu,3,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\01_activation-gelu_repeat-3,cifar10,standard,gelu,44,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550570,120,42240,0.9044,114,,0.903,best_validation,0.5039268541336059,0.894,0.5036981390953064,0.8946,3439.8862904000016
gelu_sine_triangle,activation=gelu_sine_triangle,3,runs\benchmarks\publication\periodic_gelu_cifar10_full_120epoch_20260614_021449\runs\02_activation-gelu_sine_triangle_repeat-3,cifar10,standard,gelu_sine_triangle,44,cpu,"{'cpu_affinity': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'cpu_affinity_disabled': False, 'intraop_threads': 8, 'interop_threads': 1}",550591,120,42240,0.9042,113,,0.904,best_validation,0.48082776546478273,0.8975,0.4822550880432129,0.897,6675.497120800002
