x,y_0,dy_dx_0,y_1,dy_dx_1
-6.0,-5.919525869479969e-09,-3.546870945402639e-08,0.022984829320534108,0.07983946707087317
-5.99,-6.28473895147863e-09,-3.7593913458770634e-08,0.02378251744663187,0.07969735916297416
-5.98,-6.671814822833967e-09,-3.984234140419097e-08,0.02457876054799251,0.07955046453071707
-5.97,-7.0820194658649525e-09,-4.2220884559813333e-08,0.0253735108303861,0.07939879785632696
-5.96,-7.516690330167109e-09,-4.473680425420775e-08,0.026166720648789416,0.0792423742988462
-5.95,-7.977238958289945e-09,-4.7397751070736385e-08,0.02695834251214779,0.07908120949259849
-5.94,-8.465155556525162e-09,-5.021178467585686e-08,0.02774832908811972,0.07891531954560485
-5.93,-8.982013183223004e-09,-5.3187394712971016e-08,0.02853663320780551,0.07874472103795117
-5.92,-9.529471887148588e-09,-5.63335227526064e-08,0.029323207870459347,0.07856943102010748
-5.91,-1.0109283452020001e-08,-5.965958523618476e-08,0.030108006248185385,0.07838946701119892
-5.9,-1.0723296411940808e-08,-6.317549751919498e-08,0.03089098169061468,0.078204846997229
-5.89,-1.1373461006880525e-08,-6.689169912172357e-08,0.03167208772956519,0.07801558942925467
-5.88,-1.2061834731014187e-08,-7.081918012995545e-08,0.03245127808368253,0.07782171322151397
-5.87,-1.279058748859807e-08,-7.496950897210713e-08,0.033228506663063366,0.07762323774950544
-5.86,-1.3562007987744097e-08,-7.935486135053169e-08,0.03400372757385716,0.07742018284802078
-5.85,-1.4378510707069303e-08,-8.398805050277681e-08,0.03477689512284861,0.07721256880912972
-5.84,-1.524264018559762e-08,-8.888255941102339e-08,0.035547963822022174,0.07700041638011751
-5.83,-1.615708011049044e-08,-9.405257375011033e-08,0.03631688839310179,0.07678374676137573
-5.82,-1.7124659713596558e-08,-9.951301692060851e-08,0.03708362377207182,0.07656258160424598
-5.81,-1.814836073310566e-08,-1.0527958668438966e-07,0.03784812511367618,0.07633694300881647
-5.8,-1.923132654235715e-08,-1.1136879320064027e-07,0.03861034779589333,0.07610685352167267
-5.79,-2.0376869883098613e-08,-1.1779799915151998e-07,0.039370247424390714,0.07587233613360053
-5.78,-2.1588480823009348e-08,-1.2458546176162903e-07,0.04012777983695534,0.07563341427724406
-5.77,-2.286983717569857e-08,-1.3175037640774516e-07,0.0408829011078998,0.07539011182471635
-5.76,-2.4224813515161256e-08,-1.393129225733711e-07,0.041635567552444866,0.07514245308516466
-5.75,-2.565749167293685e-08,-1.472943117404494e-07,0.04238573573107731,0.07489046280228966
-5.74,-2.717217014946982e-08,-1.5571683775791527e-07,0.043133362453884126,0.0746341661518183
-5.73,-2.8773376904434047e-08,-1.6460392900930367e-07,0.04387840478485813,0.07437358873893221
-5.72,-3.046587913280163e-08,-1.739802035929065e-07,0.04462082004618113,0.07410875659564951
-5.71,-3.2254697668876454e-08,-1.838715262895243e-07,0.045360565822476925,0.07383969617816226
-5.7,-3.4145117100425894e-08,-1.943050689836374e-07,0.0460975999650424,0.07356643436412778
-5.69,-3.614270143503795e-08,-2.0530937293295414e-07,0.04683188059604599,0.07328899844991593
-5.68,-3.8253306735569476e-08,-2.1691441450545884e-07,0.04756336611270203,0.07300741614781099
-5.67,-4.048309673987393e-08,-2.2915167345415857e-07,0.04829201519141503,0.07272171558316912
-5.66,-4.2838557655633384e-08,-2.4205420452537227e-07,0.04901778679189678,0.07243192529153109
-5.65,-4.5326514019894405e-08,-2.5565671220214726e-07,0.049740640161253256,0.0721380742156907
-5.64,-4.795414623393057e-08,-2.699956286115239e-07,0.05046053483804239,0.07184019170271916
-5.63,-5.072900850000561e-08,-2.851091949627269e-07,0.05117743065630085,0.07153830750094536
-5.62,-5.3659045904375095e-08,-3.0103754688881247e-07,0.05189128774954308,0.07123245175689182
-5.61,-5.675261563697909e-08,-3.178228029596718e-07,0.0526020665547261,0.0709226550121676
-5.6,-6.001850545445109e-08,-3.355091577495646e-07,0.05330972781618611,0.07060894820031678
-5.59,-6.346595655459808e-08,-3.541429783503096e-07,0.05401423258954036,0.07029136264362441
-5.58,-6.710468522852508e-08,-3.73772905503448e-07,0.05471554224555916,0.06996993004987835
-5.57,-7.094490484804706e-08,-3.944499592542612e-07,0.055413618474005596,0.06964468250908806
-5.56,-7.499735281024654e-08,-4.1622764848204577e-07,0.05610842328743886,0.06931565249016086
-5.55,-7.927331343859923e-08,-4.39162086110302e-07,0.05679991902498844,0.06898287283753492
-5.54,-8.378464611324965e-08,-4.633121085323553e-07,0.05748806835609147,0.06864637676776932
-5.53,-8.854381272793699e-08,-4.887394005151457e-07,0.05817283428419692,0.0683061978660918
-5.52,-9.356390692882854e-08,-5.155086253526102e-07,0.05885418015043479,0.06796237008290407
-5.51,-9.885868388459506e-08,-5.436875607138201e-07,0.059532069637250384,0.06761492773024448
-5.5,-1.0444259362918373e-07,-5.733472398618467e-07,0.06020646677200223,0.06726390547820861
-5.49,-1.1033081244116172e-07,-6.045620994816464e-07,0.06087733593052587,0.06690933835132752
-5.48,-1.1653927897148364e-07,-6.374101331433097e-07,0.061544641840658554,0.06655126172490453
-5.47,-1.2308473080258065e-07,-6.719730514339244e-07,0.06220834958572872,0.0661897113213095
-5.46,-1.299847411240229e-07,-7.083364490785755e-07,0.06286842460800883,0.06582472320623166
-5.45,-1.372577597524849e-07,-7.465899785474566e-07,0.0635248327121285,0.06545633378489067
-5.4399999999999995,-1.4492315360215e-07,-7.868275313207198e-07,0.06417754006845196,0.06508457979820592
-5.43,-1.5300125112693852e-07,-8.29147426271548e-07,0.06482651321641407,0.06470949831892486
-5.42,-1.615133858623441e-07,-8.736526063586979e-07,0.06547171906782134,0.06433112674770901
-5.41,-1.704819462783336e-07,-9.204508426094285e-07,0.06611312491010823,0.06394950280917981
-5.4,-1.7993042196184918e-07,-9.69654947548403e-07,0.06675069840956044,0.06356466454792198
-5.39,-1.8988345753756517e-07,-1.021382996297619e-06,0.0673844076144916,0.06317665032444643
-5.38,-2.0036690615454766e-07,-1.075758557191593e-06,0.06801422095838247,0.06278549881111244
-5.37,-2.1140788402540523e-07,-1.132910931987185e-06,0.06864010726298087,0.06239124898800719
-5.36,-2.23034831052793e-07,-1.1929754050927294e-06,0.06926203574135571,0.06199394013878598
-5.35,-2.3527757032626439e-07,-1.2560935035292518e-06,0.06987997600091334,0.06159361184647046
-5.34,-2.481673727183775e-07,-1.3224132668506007e-06,0.07049389804636949,0.06119030398920617
-5.33,-2.617370232477212e-07,-1.3920895280385113e-06,0.071103772282679,0.060784056735978996
-5.32,-2.760208903551664e-07,-1.4652842055684652e-06,0.071709569517923,0.060374910542290876
-5.31,-2.9105499892712047e-07,-1.5421666069113185e-06,0.07231126096615133,0.05996290614579458
-5.3,-3.0687710406152036e-07,-1.622913744470501e-06,0.0729088182501838,0.05954808456188713
-5.29,-3.235267720136381e-07,-1.7077106631924436e-06,0.07350221340436361,0.059130487079262786
-5.28,-3.4104546029922746e-07,-1.796750781821722e-06,0.07409141887726903,0.058710155255424765
-5.27,-3.594766045572628e-07,-1.890236246845259e-06,0.07467640753437836,0.05828713091215594
-5.26,-3.788657062275824e-07,-1.9883783007379905e-06,0.07525715266069066,0.057861456130948466
-5.25,-3.992604271363387e-07,-2.0913976638619226e-06,0.07583362796329837,0.05743317324839256
-5.24,-4.207106847720077e-07,-2.199524931717305e-06,0.07640580757391668,0.05700232485152347
-5.23,-4.432687537408997e-07,-2.313000987040281e-06,0.07697366605136369,0.05656895377312775
-5.22,-4.669893712727635e-07,-2.4320774277009104e-06,0.07753717838399392,0.056133103087007925
-5.21,-4.91929844967376e-07,-2.557017011316449e-06,0.07809631999208576,0.05569481610320569
-5.2,-5.181501685047607e-07,-2.688094116068767e-06,0.07865106673017877,0.05525413636318339
-5.1899999999999995,-5.457131391406466e-07,-2.8255952195076656e-06,0.07920139488936428,0.054811107634963864
-5.18,-5.746844815412987e-07,-2.969819395085923e-06,0.07974728119952577,0.0543657739082288
-5.17,-6.051329764139579e-07,-3.1210788273558136e-06,0.0802887028315315,0.05391817938937413
-5.16,-6.371305935570781e-07,-3.27969934655282e-06,0.08082563739937686,0.05346836849652403
-5.15,-6.707526321036994e-07,-3.446020982700801e-06,0.0813580629622757,0.05301638585450232
-5.14,-7.060778646950094e-07,-3.620398540557639e-06,0.08188595802670257,0.05256227628976115
-5.13,-7.431886880654436e-07,-3.803202195629542e-06,0.08240930154838386,0.05210608482526684
-5.12,-7.821712807754011e-07,-3.994818111835603e-06,0.08292807293423601,0.051647856675342815
-5.11,-8.231157654103872e-07,-4.19564908208978e-06,0.08344225204425394,0.05118763724046933
-5.1,-8.661163777012869e-07,-4.406115192089759e-06,0.0839518191933472,0.05072547210203903
-5.09,-9.112716444154012e-07,-4.62665450773348e-06,0.0844567551531208,0.05026140701706968
-5.08,-9.586845656328613e-07,-4.857723787827056e-06,0.08495704115360611,0.049795487912871944
-5.07,-1.008462804970023e-06,-5.099799222214941e-06,0.08545265888493728,0.04932776088167273
-5.06,-1.0607188895683793e-06,-5.353377195818383e-06,0.08594359049897149,0.0488582721751945
-5.05,-1.1155704129461875e-06,-5.618975080811334e-06,0.08642981861085951,0.04838706819918831
-5.04,-1.173140252102023e-06,-5.897132055577727e-06,0.08691132630055536,0.047914195507922606
-5.03,-1.2335567877397314e-06,-6.18840995355746e-06,0.08738809711427598,0.047439700798624924
-5.02,-1.2969541361640412e-06,-6.4933941412263714e-06,0.0878601150659017,0.04696363090587807
-5.01,-1.3634723881872368e-06,-6.812694427088086e-06,0.08832736463832226,0.04648603279596953
-5.0,-1.4332578593401202e-06,-7.1469460018034646e-06,0.08878983078472484,0.0460069535611932
-4.99,-1.5064633478534262e-06,-7.4968104111612816e-06,0.08924749892982578,0.045526440414104044
-4.98,-1.5832484035638307e-06,-7.86297656228698e-06,0.08970035497104387,0.045044540681724594
-4.97,-1.663779606155269e-06,-8.246161764454317e-06,0.09014838527961655,0.044561301799702274
-4.96,-1.7482308550231806e-06,-8.647112805112712e-06,0.09059157670165614,0.04407677130641845
-4.95,-1.836783669437181e-06,-9.066607062490806e-06,0.0910299165591479,0.04359099683704703
-4.9399999999999995,-1.9296275004376805e-06,-9.505453655605978e-06,0.09146339265088732,0.04310402611756357
-4.93,-2.0269600534122967e-06,-9.964494633036378e-06,0.09189199325335912,0.0426159069587028
-4.92,-2.1289876244079407e-06,-1.0444606201005099e-05,0.09231570712155346,0.04212668724986528
-4.91,-2.235925447457432e-06,-1.0946699992517218e-05,0.09273452348972219,0.041636414952971997
-4.9,-2.34799805540753e-06,-1.1471724378263645e-05,0.09314843207207342,0.04114513809626585
-4.89,-2.4654396539763866e-06,-1.2020665820586692e-05,0.0935574230634034,0.040652904768060126
-4.88,-2.5884945103937793e-06,-1.2594550271495489e-05,0.0939614871396649,0.04015976311043343
-4.87,-2.7174173544364245e-06,-1.3194444616470083e-05,0.09436061545847427,0.03966576131286846
-4.859999999999999,-2.852473795367238e-06,-1.382145816465122e-05,0.09475479965955336,0.039170947605836705
-4.85,-2.9939407541867967e-06,-1.4476744186875103e-05,0.0951440318651064,0.038675370254326345
-4.84,-3.1421069114156985e-06,-1.5161501502872968e-05,0.09552830468013257,0.038179077551313306
-4.83,-3.2972731698133195e-06,-1.5876976119146997e-05,0.09590761119267388,0.03768211781117406
-4.82,-3.4597531354563227e-06,-1.6624462918231266e-05,0.09628194497399517,0.03718453936304053
-4.8100000000000005,-3.629873614663937e-06,-1.740530740129328e-05,0.09665130007869849,0.03668639054409524
-4.8,-3.8079751293551564e-06,-1.822090748500497e-05,0.09701567104476996,0.03618771969280587
-4.79,-3.99441245071519e-06,-1.907271535419314e-05,0.09737505289355794,0.035688575142099416
-4.78,-4.189555150513336e-06,-1.9962239371919685e-05,0.09772944112968432,0.03518900521247326
-4.77,-4.393788173655544e-06,-2.0891046047777767e-05,0.09807883174088437,0.03468905820504431
-4.76,-4.607512429146698e-06,-2.186076206655078e-05,0.09842322119777853,0.03418878239453357
-4.75,-4.831145402214854e-06,-2.2873076378242567e-05,0.09876260645357335,0.03368822602218579
-4.74,-5.065121788191407e-06,-2.392974235095503e-05,0.09909698494369015,0.03318743728862396
-4.73,-5.3098941471479985e-06,-2.5032579988451014e-05,0.09942635458532383,0.032686464346636086
-4.72,-5.565933581967996e-06,-2.618347821348775e-05,0.09975071377692737,0.03218535529389468
-4.71,-5.8337304390781995e-06,-2.7384397218751907e-05,0.09991797865677655,-0.03197781774707717
-4.7,-6.113795033418912e-06,-2.8637370886756406e-05,0.09959569430657268,-0.03247905498558687
-4.6899999999999995,-6.406658397112296e-06,-2.9944509280522258e-05,0.09926839758300005,-0.03298028444637089
-4.68,-6.7128730551857525e-06,-3.130800120606409e-05,0.09893608880292454,-0.03348145832641806
-4.67,-7.0330138243818175e-06,-3.2730116849276e-05,0.09859876876078666,-0.03398252891529043
-4.66,-7.367678642525855e-06,-3.421321048739016e-05,0.09825643872763518,-0.03448344860283286
-4.65,-7.717489421329994e-06,-3.5759723278317136e-05,0.09790910045008762,-0.0349841698869586
-4.64,-8.083092931077117e-06,-3.737218612786316e-05,0.09755675614920858,-0.03548464538151079
-4.63,-8.465161712108427e-06,-3.905322263772973e-05,0.09719940851931158,-0.03598482782420213
-4.62,-8.864395016320303e-06,-4.08055521354432e-05,0.09683706072668077,-0.03648467008463355
-4.609999999999999,-9.281519780786061e-06,-4.263199278760299e-05,0.0964697164082108,-0.0369841251723921
-4.6,-9.717291631483604e-06,-4.4535464798742646e-05,0.09609737966996677,-0.03748314624523076
-4.59,-1.0172495920737767e-05,-4.65189936968975e-05,0.09572005508566056,-0.03798168661733033
-4.58,-1.0647948796825847e-05,-4.8585713708092304e-05,0.09533774769504523,-0.03847969976764486
-4.57,-1.1144498307252283e-05,-5.0738871221318e-05,0.09495046300222643,-0.03897713934833203
-4.5600000000000005,-1.166302553994303e-05,-5.298182834496388e-05,0.09455820697388569,-0.039473959193269216
-4.55,-1.220444579742852e-05,-5.5318066557687646e-05,0.09416098603742161,-0.03997011332665705
-4.54,-1.2769709809236084e-05,-5.7751190454489503e-05,0.09375880707900343,-0.0404655559717109
-4.53,-1.3359804982576718e-05,-6.02849315898865e-05,0.09335167744153611,-0.04096024155944262
-4.52,-1.3975756691644301e-05,-6.292315242002344e-05,0.09293960492253844,-0.04145412473753241
-4.51,-1.4618629606073518e-05,-6.566985034551718e-05,0.09252259777193239,-0.04194716037929295
-4.5,-1.5289529061324192e-05,-6.852916185633593e-05,0.09210066468974074,-0.04243930359272697
-4.49,-1.5989602471450094e-05,-7.15053667805089e-05,0.09167381482369433,-0.0429305097296786
-4.48,-1.6720040783191337e-05,-7.460289263880955e-05,0.09124205776674811,-0.043420734395080866
-4.47,-1.7482079975540408e-05,-7.782631910637691e-05,0.09080540355450345,-0.043909933456299385
-4.46,-1.8277002603886983e-05,-8.118038258335568e-05,0.09036386266253674,-0.04439806305257432
-4.45,-1.910613939130057e-05,-8.466998087585124e-05,0.0899174460036321,-0.04488507960456111
-4.4399999999999995,-1.9970870865253507e-05,-8.830017798942952e-05,0.0894661649249207,-0.04537093982397141
-4.43,-2.08726290447353e-05,-9.207620903588782e-05,0.08901003120492064,-0.04585560072331517
-4.42,-2.181289917646434e-05,-9.60034852554009e-05,0.08854905705047966,-0.04633901962574511
-4.41,-2.2793221521351105e-05,-0.00010008759915556958,0.08808325509361976,-0.04682115417500428
-4.4,-2.3815193193788e-05,-0.00010433432976855648,0.08761263838828028,-0.04730196234547828
-4.39,-2.4880470053589286e-05,-0.00010874964802808602,0.08713722040696122,-0.047781402452352635
-4.38,-2.5990768651841243e-05,-0.00011333972226772177,0.08665701503726442,-0.04825943316187641
-4.37,-2.714786823357185e-05,-0.00011811092384143531,0.08617203657833053,-0.048736013501733164
-4.359999999999999,-2.8353612796438994e-05,-0.00012306983286827032,0.08568229973717237,-0.04921110287151992
-4.35,-2.960991320703765e-05,-0.00012822324410232964,0.08518781962490377,-0.04968466105333508
-4.34,-3.091874937853678e-05,-0.00013357817292878162,0.08468861175285954,-0.050156648222475606
-4.33,-3.228217250556775e-05,-0.0001391418614883096,0.08418469202861158,-0.05062702495824569
-4.32,-3.370230736456037e-05,-0.00014492178492956712,0.08367607675187255,-0.051095752254875226
-4.3100000000000005,-3.518135467486028e-05,-0.00015092565779209897,0.08316278261029252,-0.05156279153255087
